name,type,colour
arduino,which,#6DC28F
raspberry pi,which,#6DC28F
attiny,which,#6DC28F
esp8266,which,#6DC28F
ARM,which,#6DC28F
vacuum,which,#6DC28F
hand cranked,which,#6DC28F
papercraft,which,#6DC28F
robot,which,#6DC28F
automaton,which,#6DC28F
crowdfunded,which,#6DC28F
xcore,which,#6DC28F
propeller,which,#6DC28F
mbed,which,#6DC28F
if this then that,which,#6DC28F
PIC,which,#6DC28F
brushless,which,#6DC28F
mobile,which,#6DC28F
artificial intelligence,which,#6DC28F
lasercut,which,#6DC28F
biohacked,which,#6DC28F
emergent,which,#6DC28F
breadboard,which,#6DC28F
punchcard,which,#6DC28F
origami,which,#6DC28F
deep learning,which,#6DC28F
3d printed,what,#943920
breitenberg,what,#943920
twitter,what,#943920
neopixel,what,#943920
ultrasonic,what,#943920
infrared,what,#943920
speech recognition,what,#943920
pen plotter,what,#943920
knitted,what,#943920
water wheel,what,#943920
potato battery,what,#943920
spinning wheel,what,#943920
petrol engine,what,#943920
quad-copter,what,#943920
gps,what,#943920
midi,what,#943920
face detection,what,#943920
obfuscated,what,#943920
RFID,what,#943920
wireless,what,#943920
texture mapped,what,#943920
milk float,what,#943920
big data,what,#943920
barrel organ,what,#943920
iot,what,#943920
recycled,what,#943920
retronautical,why,#275466
game,why,#275466
wearable,why,#275466
foldable,why,#275466
comedy,why,#275466
pet,why,#275466
door lock,why,#275466
video game,why,#275466
home automation,why,#275466
arboriculture,why,#275466
drone,why,#275466
shoe,why,#275466
extreme speed,why,#275466
fashion,why,#275466
for your mum,why,#275466
camera,why,#275466
music,why,#275466
night vision,why,#275466
explodable,why,#275466
edible,why,#275466
graffiti,why,#275466
teachable,why,#275466
puzzle,why,#275466
navigation,why,#275466
plaything,why,#275466
